threads,batch_size,device,dtype,num_data_centers,num_data_centers_other,num_client_data_centers,percent_data_centers_A,percent_data_centers_B,percent_change_A,percent_change_B,elapsed_time,time_per_simulation,results
40,100,cpu,torch.float16,300,300,300,0.3,0.3,1.5,0.1,8.314719200134277,8.314719200134277,"[[0.8267, 1.161 , 1.298 ]]"
40,1000,cpu,torch.float16,300,300,300,0.3,0.3,1.5,0.1,85.15936851501465,85.15936851501465,"[[0.8237, 0.9434, 1.32  ]]"
40,10000,cpu,torch.float16,300,300,300,0.3,0.3,1.5,0.1,839.7524785995483,839.7524785995483,"[[0.817 , 0.8726, 1.3   ]]"
